

--- Server Started at 2024-04-27T19:38:59.143Z ---
2024-04-27T19:39:00.161Z - Humidity: 60%, Temperature: 25C, Analog output: 725
2024-04-27T21:28:45.778Z - Humidity: 65%, Temperature: 23C, Analog output: 741
2024-04-27T21:28:55.816Z - Humidity: 64%, Temperature: 24C, Analog output: 740
2024-04-27T21:29:05.855Z - Humidity: 64%, Temperature: 24C, Analog output: 755
2024-04-27T21:29:15.894Z - Humidity: 64%, Temperature: 25C, Analog output: 753
2024-04-27T21:29:25.931Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:29:35.970Z - Humidity: 65%, Temperature: 24C, Analog output: 736
2024-04-27T21:29:46.009Z - Humidity: 66%, Temperature: 25C, Analog output: 738
2024-04-27T21:29:56.048Z - Humidity: 64%, Temperature: 24C, Analog output: 741
2024-04-27T21:30:06.086Z - Humidity: 65%, Temperature: 23C, Analog output: 738
2024-04-27T21:30:16.125Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T21:30:26.163Z - Humidity: 65%, Temperature: 24C, Analog output: 738
2024-04-27T21:30:36.206Z - Humidity: 65%, Temperature: 23C, Analog output: 743
2024-04-27T21:30:46.244Z - Humidity: 64%, Temperature: 24C, Analog output: 740
2024-04-27T21:30:56.283Z - Humidity: 64%, Temperature: 25C, Analog output: 733
2024-04-27T21:31:06.321Z - Humidity: 64%, Temperature: 25C, Analog output: 767
2024-04-27T21:31:16.360Z - Humidity: 65%, Temperature: 24C, Analog output: 750
2024-04-27T21:31:26.399Z - Humidity: 65%, Temperature: 25C, Analog output: 672
2024-04-27T21:31:36.438Z - Humidity: 65%, Temperature: 25C, Analog output: 742
2024-04-27T21:31:46.477Z - Humidity: 64%, Temperature: 25C, Analog output: 744
2024-04-27T21:31:56.515Z - Humidity: 65%, Temperature: 23C, Analog output: 740
2024-04-27T21:32:06.553Z - Humidity: 65%, Temperature: 23C, Analog output: 741
2024-04-27T21:32:16.596Z - Humidity: 64%, Temperature: 24C, Analog output: 746
2024-04-27T21:32:26.634Z - Humidity: 64%, Temperature: 24C, Analog output: 736
2024-04-27T21:32:36.673Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T21:32:46.712Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:32:56.750Z - Humidity: 65%, Temperature: 23C, Analog output: 782
2024-04-27T21:33:06.789Z - Humidity: 65%, Temperature: 25C, Analog output: 742
2024-04-27T21:33:16.827Z - Humidity: 63%, Temperature: 24C, Analog output: 746
2024-04-27T21:33:26.866Z - Humidity: 63%, Temperature: 25C, Analog output: 747
2024-04-27T21:33:36.905Z - Humidity: 63%, Temperature: 24C, Analog output: 738
2024-04-27T21:33:46.944Z - Humidity: 64%, Temperature: 25C, Analog output: 780
2024-04-27T21:33:56.986Z - Humidity: 66%, Temperature: 24C, Analog output: 719
2024-04-27T21:34:07.025Z - Humidity: 64%, Temperature: 24C, Analog output: 739
2024-04-27T21:34:17.064Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T21:34:27.102Z - Humidity: 62%, Temperature: 25C, Analog output: 741
2024-04-27T21:34:37.140Z - Humidity: 64%, Temperature: 25C, Analog output: 739
2024-04-27T21:34:47.179Z - Humidity: 63%, Temperature: 23C, Analog output: 747
2024-04-27T21:34:57.217Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:35:07.256Z - Humidity: 65%, Temperature: 23C, Analog output: 766
2024-04-27T21:35:17.295Z - Humidity: 64%, Temperature: 24C, Analog output: 762
2024-04-27T21:35:27.338Z - Humidity: 64%, Temperature: 24C, Analog output: 755
2024-04-27T21:35:37.376Z - Humidity: 63%, Temperature: 23C, Analog output: 742
2024-04-27T21:35:47.415Z - Humidity: 63%, Temperature: 24C, Analog output: 776
2024-04-27T21:35:57.454Z - Humidity: 64%, Temperature: 24C, Analog output: 750
2024-04-27T21:36:07.492Z - Humidity: 64%, Temperature: 24C, Analog output: 738
2024-04-27T21:36:17.531Z - Humidity: 64%, Temperature: 25C, Analog output: 747
2024-04-27T21:36:27.569Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T21:36:37.608Z - Humidity: 64%, Temperature: 25C, Analog output: 743
2024-04-27T21:36:47.647Z - Humidity: 63%, Temperature: 25C, Analog output: 671
2024-04-27T21:36:57.689Z - Humidity: 65%, Temperature: 25C, Analog output: 743
2024-04-27T21:37:07.728Z - Humidity: 64%, Temperature: 24C, Analog output: 740
2024-04-27T21:37:17.767Z - Humidity: 63%, Temperature: 23C, Analog output: 743
2024-04-27T21:37:27.805Z - Humidity: 65%, Temperature: 24C, Analog output: 745
2024-04-27T21:37:37.844Z - Humidity: 64%, Temperature: 23C, Analog output: 739
2024-04-27T21:37:47.882Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:37:57.921Z - Humidity: 63%, Temperature: 24C, Analog output: 740
2024-04-27T21:38:07.960Z - Humidity: 63%, Temperature: 25C, Analog output: 757
2024-04-27T21:38:17.999Z - Humidity: 62%, Temperature: 25C, Analog output: 738
2024-04-27T21:38:28.041Z - Humidity: 63%, Temperature: 24C, Analog output: 777
2024-04-27T21:38:38.079Z - Humidity: 62%, Temperature: 23C, Analog output: 741
2024-04-27T21:38:48.118Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:38:58.157Z - Humidity: 64%, Temperature: 24C, Analog output: 739
2024-04-27T21:39:08.195Z - Humidity: 63%, Temperature: 24C, Analog output: 756
2024-04-27T21:39:18.234Z - Humidity: 64%, Temperature: 25C, Analog output: 743
2024-04-27T21:39:28.272Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:39:38.311Z - Humidity: 63%, Temperature: 25C, Analog output: 761
2024-04-27T21:39:48.350Z - Humidity: 63%, Temperature: 25C, Analog output: 743
2024-04-27T21:39:58.388Z - Humidity: 64%, Temperature: 25C, Analog output: 742
2024-04-27T21:40:08.431Z - Humidity: 62%, Temperature: 25C, Analog output: 743
2024-04-27T21:40:18.469Z - Humidity: 62%, Temperature: 23C, Analog output: 742
2024-04-27T21:40:28.509Z - Humidity: 62%, Temperature: 24C, Analog output: 750
2024-04-27T21:40:38.547Z - Humidity: 62%, Temperature: 24C, Analog output: 756
2024-04-27T21:40:48.586Z - Humidity: 62%, Temperature: 24C, Analog output: 744
2024-04-27T21:40:58.625Z - Humidity: 63%, Temperature: 24C, Analog output: 743
2024-04-27T21:41:08.663Z - Humidity: 64%, Temperature: 23C, Analog output: 763
2024-04-27T21:41:18.701Z - Humidity: 64%, Temperature: 23C, Analog output: 741
2024-04-27T21:41:28.744Z - Humidity: 63%, Temperature: 23C, Analog output: 742
2024-04-27T21:41:38.783Z - Humidity: 62%, Temperature: 25C, Analog output: 747
2024-04-27T21:41:48.822Z - Humidity: 65%, Temperature: 24C, Analog output: 743
2024-04-27T21:41:58.860Z - Humidity: 64%, Temperature: 24C, Analog output: 780
2024-04-27T21:42:08.899Z - Humidity: 64%, Temperature: 24C, Analog output: 742
2024-04-27T21:42:18.937Z - Humidity: 63%, Temperature: 25C, Analog output: 771
2024-04-27T21:42:28.975Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T21:42:39.014Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:42:49.052Z - Humidity: 64%, Temperature: 24C, Analog output: 774
2024-04-27T21:42:59.095Z - Humidity: 64%, Temperature: 24C, Analog output: 745
2024-04-27T21:43:09.134Z - Humidity: 64%, Temperature: 24C, Analog output: 741
2024-04-27T21:43:19.172Z - Humidity: 65%, Temperature: 23C, Analog output: 680
2024-04-27T21:43:29.211Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:43:39.250Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T21:43:49.288Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T21:43:59.327Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:44:09.365Z - Humidity: 65%, Temperature: 25C, Analog output: 737
2024-04-27T21:44:19.404Z - Humidity: 64%, Temperature: 24C, Analog output: 739
2024-04-27T21:44:29.442Z - Humidity: 63%, Temperature: 23C, Analog output: 768
2024-04-27T21:44:39.481Z - Humidity: 63%, Temperature: 23C, Analog output: 758
2024-04-27T21:44:49.524Z - Humidity: 64%, Temperature: 23C, Analog output: 762
2024-04-27T21:44:59.562Z - Humidity: 64%, Temperature: 23C, Analog output: 751
2024-04-27T21:45:09.601Z - Humidity: 65%, Temperature: 23C, Analog output: 741
2024-04-27T21:45:19.640Z - Humidity: 65%, Temperature: 24C, Analog output: 762
2024-04-27T21:45:29.679Z - Humidity: 64%, Temperature: 25C, Analog output: 761
2024-04-27T21:45:39.716Z - Humidity: 63%, Temperature: 24C, Analog output: 738
2024-04-27T21:45:49.756Z - Humidity: 63%, Temperature: 23C, Analog output: 744
2024-04-27T21:45:59.794Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:46:09.833Z - Humidity: 65%, Temperature: 24C, Analog output: 739
2024-04-27T21:46:19.876Z - Humidity: 64%, Temperature: 24C, Analog output: 740
2024-04-27T21:46:29.915Z - Humidity: 65%, Temperature: 24C, Analog output: 772
2024-04-27T21:46:39.953Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:46:49.992Z - Humidity: 64%, Temperature: 24C, Analog output: 744
2024-04-27T21:47:00.029Z - Humidity: 64%, Temperature: 25C, Analog output: 740
2024-04-27T21:47:10.069Z - Humidity: 65%, Temperature: 23C, Analog output: 742
2024-04-27T21:47:20.107Z - Humidity: 66%, Temperature: 25C, Analog output: 744
2024-04-27T21:47:30.146Z - Humidity: 64%, Temperature: 25C, Analog output: 764
2024-04-27T21:47:40.184Z - Humidity: 63%, Temperature: 25C, Analog output: 740
2024-04-27T21:47:50.223Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:48:00.265Z - Humidity: 63%, Temperature: 23C, Analog output: 747
2024-04-27T21:48:10.304Z - Humidity: 63%, Temperature: 25C, Analog output: 740
2024-04-27T21:48:20.343Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:48:30.382Z - Humidity: 63%, Temperature: 24C, Analog output: 745
2024-04-27T21:48:40.420Z - Humidity: 62%, Temperature: 23C, Analog output: 758
2024-04-27T21:48:50.459Z - Humidity: 63%, Temperature: 25C, Analog output: 758
2024-04-27T21:49:00.498Z - Humidity: 63%, Temperature: 24C, Analog output: 755
2024-04-27T21:49:10.536Z - Humidity: 62%, Temperature: 24C, Analog output: 741
2024-04-27T21:49:20.579Z - Humidity: 62%, Temperature: 25C, Analog output: 739
2024-04-27T21:49:30.616Z - Humidity: 62%, Temperature: 24C, Analog output: 743
2024-04-27T21:49:40.656Z - Humidity: 61%, Temperature: 24C, Analog output: 742
2024-04-27T21:49:50.695Z - Humidity: 62%, Temperature: 25C, Analog output: 745
2024-04-27T21:50:00.734Z - Humidity: 62%, Temperature: 24C, Analog output: 759
2024-04-27T21:50:10.772Z - Humidity: 62%, Temperature: 25C, Analog output: 742
2024-04-27T21:50:20.811Z - Humidity: 63%, Temperature: 25C, Analog output: 767
2024-04-27T21:50:30.854Z - Humidity: 62%, Temperature: 25C, Analog output: 744
2024-04-27T21:50:40.892Z - Humidity: 62%, Temperature: 24C, Analog output: 741
2024-04-27T21:50:50.931Z - Humidity: 63%, Temperature: 24C, Analog output: 733
2024-04-27T21:51:00.970Z - Humidity: 63%, Temperature: 23C, Analog output: 741
2024-04-27T21:51:11.008Z - Humidity: 63%, Temperature: 25C, Analog output: 747
2024-04-27T21:51:21.047Z - Humidity: 64%, Temperature: 24C, Analog output: 757
2024-04-27T21:51:31.085Z - Humidity: 64%, Temperature: 25C, Analog output: 741
2024-04-27T21:51:41.124Z - Humidity: 64%, Temperature: 25C, Analog output: 744
2024-04-27T21:51:51.162Z - Humidity: 65%, Temperature: 25C, Analog output: 740
2024-04-27T21:52:01.205Z - Humidity: 64%, Temperature: 25C, Analog output: 744
2024-04-27T21:52:11.243Z - Humidity: 64%, Temperature: 24C, Analog output: 758
2024-04-27T21:52:21.282Z - Humidity: 64%, Temperature: 23C, Analog output: 739
2024-04-27T21:52:31.321Z - Humidity: 63%, Temperature: 24C, Analog output: 757
2024-04-27T21:52:41.359Z - Humidity: 63%, Temperature: 24C, Analog output: 743
2024-04-27T21:52:51.398Z - Humidity: 63%, Temperature: 23C, Analog output: 741
2024-04-27T21:53:01.436Z - Humidity: 63%, Temperature: 24C, Analog output: 750
2024-04-27T21:53:11.475Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:53:21.517Z - Humidity: 65%, Temperature: 25C, Analog output: 769
2024-04-27T21:53:31.557Z - Humidity: 64%, Temperature: 24C, Analog output: 741
2024-04-27T21:53:41.596Z - Humidity: 64%, Temperature: 23C, Analog output: 742
2024-04-27T21:53:51.634Z - Humidity: 63%, Temperature: 24C, Analog output: 742
2024-04-27T21:54:01.672Z - Humidity: 64%, Temperature: 25C, Analog output: 742
2024-04-27T21:54:11.711Z - Humidity: 63%, Temperature: 24C, Analog output: 742
2024-04-27T21:54:21.750Z - Humidity: 63%, Temperature: 25C, Analog output: 741
2024-04-27T21:54:31.788Z - Humidity: 63%, Temperature: 23C, Analog output: 742
2024-04-27T21:54:41.831Z - Humidity: 63%, Temperature: 24C, Analog output: 741
2024-04-27T21:54:51.870Z - Humidity: 64%, Temperature: 24C, Analog output: 742
2024-04-27T21:55:01.908Z - Humidity: 65%, Temperature: 24C, Analog output: 755
2024-04-27T21:55:11.947Z - Humidity: 64%, Temperature: 25C, Analog output: 751
2024-04-27T21:55:21.986Z - Humidity: 63%, Temperature: 24C, Analog output: 744
2024-04-27T21:55:32.024Z - Humidity: 63%, Temperature: 24C, Analog output: 749
2024-04-27T21:55:42.062Z - Humidity: 63%, Temperature: 24C, Analog output: 744
2024-04-27T21:55:52.101Z - Humidity: 63%, Temperature: 25C, Analog output: 760
2024-04-27T21:56:02.144Z - Humidity: 64%, Temperature: 25C, Analog output: 757
2024-04-27T21:56:12.182Z - Humidity: 63%, Temperature: 24C, Analog output: 763
2024-04-27T21:56:22.221Z - Humidity: 63%, Temperature: 24C, Analog output: 745
2024-04-27T21:56:32.259Z - Humidity: 62%, Temperature: 24C, Analog output: 742
2024-04-27T21:56:42.298Z - Humidity: 63%, Temperature: 24C, Analog output: 756
2024-04-27T21:56:52.337Z - Humidity: 64%, Temperature: 24C, Analog output: 754
2024-04-27T21:57:02.375Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T21:57:12.414Z - Humidity: 65%, Temperature: 25C, Analog output: 765
2024-04-27T21:57:22.452Z - Humidity: 65%, Temperature: 25C, Analog output: 747
2024-04-27T21:57:32.491Z - Humidity: 65%, Temperature: 25C, Analog output: 718
2024-04-27T21:57:42.532Z - Humidity: 65%, Temperature: 24C, Analog output: 746
2024-04-27T21:57:52.571Z - Humidity: 64%, Temperature: 25C, Analog output: 745
2024-04-27T21:58:02.611Z - Humidity: 65%, Temperature: 24C, Analog output: 743
2024-04-27T21:58:12.650Z - Humidity: 64%, Temperature: 23C, Analog output: 744
2024-04-27T21:58:22.688Z - Humidity: 63%, Temperature: 23C, Analog output: 742
2024-04-27T21:58:32.727Z - Humidity: 64%, Temperature: 24C, Analog output: 724
2024-04-27T21:58:42.765Z - Humidity: 63%, Temperature: 24C, Analog output: 775
2024-04-27T21:58:52.804Z - Humidity: 64%, Temperature: 23C, Analog output: 739
2024-04-27T21:59:02.843Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T21:59:12.881Z - Humidity: 65%, Temperature: 25C, Analog output: 748
2024-04-27T21:59:22.924Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T21:59:32.962Z - Humidity: 65%, Temperature: 25C, Analog output: 747
2024-04-27T21:59:43.001Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T21:59:53.040Z - Humidity: 66%, Temperature: 24C, Analog output: 741
2024-04-27T22:00:03.078Z - Humidity: 66%, Temperature: 24C, Analog output: 743
2024-04-27T22:00:13.116Z - Humidity: 67%, Temperature: 24C, Analog output: 777
2024-04-27T22:00:23.155Z - Humidity: 65%, Temperature: 24C, Analog output: 750
2024-04-27T22:00:33.194Z - Humidity: 64%, Temperature: 23C, Analog output: 740
2024-04-27T22:00:43.233Z - Humidity: 65%, Temperature: 24C, Analog output: 747
2024-04-27T22:00:53.271Z - Humidity: 65%, Temperature: 24C, Analog output: 749
2024-04-27T22:01:03.310Z - Humidity: 65%, Temperature: 24C, Analog output: 782
2024-04-27T22:01:13.353Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:01:23.391Z - Humidity: 66%, Temperature: 23C, Analog output: 752
2024-04-27T22:01:33.430Z - Humidity: 66%, Temperature: 24C, Analog output: 744
2024-04-27T22:01:43.467Z - Humidity: 65%, Temperature: 25C, Analog output: 744
2024-04-27T22:01:53.507Z - Humidity: 67%, Temperature: 24C, Analog output: 742
2024-04-27T22:02:03.546Z - Humidity: 66%, Temperature: 25C, Analog output: 743
2024-04-27T22:02:13.584Z - Humidity: 65%, Temperature: 23C, Analog output: 752
2024-04-27T22:02:23.622Z - Humidity: 65%, Temperature: 23C, Analog output: 743
2024-04-27T22:02:33.661Z - Humidity: 65%, Temperature: 24C, Analog output: 764
2024-04-27T22:02:43.700Z - Humidity: 64%, Temperature: 24C, Analog output: 745
2024-04-27T22:02:53.742Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T22:03:03.781Z - Humidity: 64%, Temperature: 24C, Analog output: 743
2024-04-27T22:03:13.820Z - Humidity: 65%, Temperature: 25C, Analog output: 762
2024-04-27T22:03:23.857Z - Humidity: 64%, Temperature: 23C, Analog output: 783
2024-04-27T22:03:33.897Z - Humidity: 65%, Temperature: 23C, Analog output: 749
2024-04-27T22:03:43.936Z - Humidity: 65%, Temperature: 23C, Analog output: 740
2024-04-27T22:03:53.975Z - Humidity: 65%, Temperature: 23C, Analog output: 743
2024-04-27T22:04:04.013Z - Humidity: 66%, Temperature: 23C, Analog output: 742
2024-04-27T22:04:14.052Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T22:04:24.093Z - Humidity: 65%, Temperature: 23C, Analog output: 746
2024-04-27T22:04:34.133Z - Humidity: 66%, Temperature: 24C, Analog output: 763
2024-04-27T22:04:44.172Z - Humidity: 66%, Temperature: 24C, Analog output: 742
2024-04-27T22:04:54.209Z - Humidity: 66%, Temperature: 23C, Analog output: 744
2024-04-27T22:05:04.249Z - Humidity: 65%, Temperature: 24C, Analog output: 745
2024-04-27T22:05:14.287Z - Humidity: 65%, Temperature: 24C, Analog output: 743
2024-04-27T22:05:24.325Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T22:05:34.365Z - Humidity: 65%, Temperature: 25C, Analog output: 750
2024-04-27T22:05:44.403Z - Humidity: 64%, Temperature: 23C, Analog output: 745
2024-04-27T22:05:54.442Z - Humidity: 64%, Temperature: 24C, Analog output: 746
2024-04-27T22:06:04.480Z - Humidity: 66%, Temperature: 23C, Analog output: 755
2024-04-27T22:06:14.523Z - Humidity: 66%, Temperature: 24C, Analog output: 743
2024-04-27T22:06:24.562Z - Humidity: 66%, Temperature: 23C, Analog output: 778
2024-04-27T22:06:34.601Z - Humidity: 65%, Temperature: 25C, Analog output: 776
2024-04-27T22:06:44.639Z - Humidity: 65%, Temperature: 23C, Analog output: 759
2024-04-27T22:06:54.678Z - Humidity: 66%, Temperature: 23C, Analog output: 765
2024-04-27T22:07:04.716Z - Humidity: 65%, Temperature: 24C, Analog output: 743
2024-04-27T22:07:14.755Z - Humidity: 64%, Temperature: 24C, Analog output: 741
2024-04-27T22:07:24.793Z - Humidity: 64%, Temperature: 24C, Analog output: 742
2024-04-27T22:07:34.832Z - Humidity: 64%, Temperature: 25C, Analog output: 774
2024-04-27T22:07:44.871Z - Humidity: 65%, Temperature: 23C, Analog output: 761
2024-04-27T22:07:54.909Z - Humidity: 65%, Temperature: 23C, Analog output: 742
2024-04-27T22:08:04.948Z - Humidity: 66%, Temperature: 24C, Analog output: 757
2024-04-27T22:08:14.991Z - Humidity: 65%, Temperature: 23C, Analog output: 744
2024-04-27T22:08:25.029Z - Humidity: 65%, Temperature: 23C, Analog output: 779
2024-04-27T22:08:35.068Z - Humidity: 66%, Temperature: 25C, Analog output: 759
2024-04-27T22:08:45.106Z - Humidity: 66%, Temperature: 25C, Analog output: 745
2024-04-27T22:08:55.145Z - Humidity: 67%, Temperature: 25C, Analog output: 748
2024-04-27T22:09:05.184Z - Humidity: 66%, Temperature: 24C, Analog output: 741
2024-04-27T22:09:15.222Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:09:25.260Z - Humidity: 66%, Temperature: 24C, Analog output: 759
2024-04-27T22:09:35.300Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:09:45.342Z - Humidity: 65%, Temperature: 24C, Analog output: 743
2024-04-27T22:09:55.381Z - Humidity: 65%, Temperature: 23C, Analog output: 743
2024-04-27T22:10:05.419Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T22:10:15.458Z - Humidity: 66%, Temperature: 25C, Analog output: 765
2024-04-27T22:10:25.496Z - Humidity: 65%, Temperature: 23C, Analog output: 745
2024-04-27T22:10:35.535Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:10:45.574Z - Humidity: 65%, Temperature: 25C, Analog output: 744
2024-04-27T22:10:55.613Z - Humidity: 66%, Temperature: 24C, Analog output: 760
2024-04-27T22:11:05.651Z - Humidity: 66%, Temperature: 24C, Analog output: 754
2024-04-27T22:11:15.690Z - Humidity: 65%, Temperature: 24C, Analog output: 751
2024-04-27T22:11:25.728Z - Humidity: 64%, Temperature: 24C, Analog output: 751
2024-04-27T22:11:35.771Z - Humidity: 66%, Temperature: 24C, Analog output: 759
2024-04-27T22:11:45.810Z - Humidity: 65%, Temperature: 24C, Analog output: 748
2024-04-27T22:11:55.848Z - Humidity: 64%, Temperature: 23C, Analog output: 740
2024-04-27T22:12:05.887Z - Humidity: 65%, Temperature: 25C, Analog output: 743
2024-04-27T22:12:15.926Z - Humidity: 65%, Temperature: 25C, Analog output: 696
2024-04-27T22:12:25.964Z - Humidity: 65%, Temperature: 25C, Analog output: 741
2024-04-27T22:12:36.002Z - Humidity: 65%, Temperature: 24C, Analog output: 773
2024-04-27T22:12:46.041Z - Humidity: 64%, Temperature: 24C, Analog output: 745
2024-04-27T22:12:56.079Z - Humidity: 64%, Temperature: 25C, Analog output: 743
2024-04-27T22:13:06.118Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T22:13:16.157Z - Humidity: 65%, Temperature: 25C, Analog output: 762
2024-04-27T22:13:26.199Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:13:36.238Z - Humidity: 64%, Temperature: 25C, Analog output: 744
2024-04-27T22:13:46.277Z - Humidity: 64%, Temperature: 23C, Analog output: 670
2024-04-27T22:13:56.316Z - Humidity: 65%, Temperature: 25C, Analog output: 741
2024-04-27T22:14:06.354Z - Humidity: 66%, Temperature: 24C, Analog output: 770
2024-04-27T22:14:16.393Z - Humidity: 66%, Temperature: 25C, Analog output: 746
2024-04-27T22:14:26.431Z - Humidity: 66%, Temperature: 24C, Analog output: 748
2024-04-27T22:14:36.470Z - Humidity: 65%, Temperature: 25C, Analog output: 741
2024-04-27T22:14:46.508Z - Humidity: 64%, Temperature: 24C, Analog output: 744
2024-04-27T22:14:56.551Z - Humidity: 66%, Temperature: 24C, Analog output: 744
2024-04-27T22:15:06.590Z - Humidity: 67%, Temperature: 25C, Analog output: 742
2024-04-27T22:15:16.628Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:15:26.667Z - Humidity: 67%, Temperature: 25C, Analog output: 747
2024-04-27T22:15:36.705Z - Humidity: 67%, Temperature: 25C, Analog output: 770
2024-04-27T22:15:46.744Z - Humidity: 65%, Temperature: 23C, Analog output: 773
2024-04-27T22:15:56.782Z - Humidity: 65%, Temperature: 23C, Analog output: 746
2024-04-27T22:16:06.821Z - Humidity: 67%, Temperature: 24C, Analog output: 737
2024-04-27T22:16:16.860Z - Humidity: 66%, Temperature: 25C, Analog output: 743
2024-04-27T22:16:26.898Z - Humidity: 65%, Temperature: 24C, Analog output: 741
2024-04-27T22:16:36.941Z - Humidity: 66%, Temperature: 23C, Analog output: 744
2024-04-27T22:16:46.980Z - Humidity: 66%, Temperature: 24C, Analog output: 743
2024-04-27T22:16:57.018Z - Humidity: 65%, Temperature: 25C, Analog output: 734
2024-04-27T22:17:07.057Z - Humidity: 65%, Temperature: 24C, Analog output: 740
2024-04-27T22:17:17.096Z - Humidity: 65%, Temperature: 24C, Analog output: 745
2024-04-27T22:17:27.134Z - Humidity: 66%, Temperature: 25C, Analog output: 742
2024-04-27T22:17:37.173Z - Humidity: 66%, Temperature: 25C, Analog output: 750
2024-04-27T22:17:47.212Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T22:17:57.250Z - Humidity: 66%, Temperature: 24C, Analog output: 758
2024-04-27T22:18:07.289Z - Humidity: 65%, Temperature: 25C, Analog output: 765
2024-04-27T22:18:17.328Z - Humidity: 64%, Temperature: 24C, Analog output: 745
2024-04-27T22:18:27.369Z - Humidity: 64%, Temperature: 25C, Analog output: 746
2024-04-27T22:18:37.409Z - Humidity: 66%, Temperature: 25C, Analog output: 740
2024-04-27T22:18:47.448Z - Humidity: 66%, Temperature: 24C, Analog output: 745
2024-04-27T22:18:57.486Z - Humidity: 66%, Temperature: 25C, Analog output: 767
2024-04-27T22:19:07.525Z - Humidity: 66%, Temperature: 24C, Analog output: 744
2024-04-27T22:19:17.563Z - Humidity: 65%, Temperature: 24C, Analog output: 742
2024-04-27T22:19:27.602Z - Humidity: 66%, Temperature: 24C, Analog output: 745
2024-04-27T22:19:37.640Z - Humidity: 66%, Temperature: 25C, Analog output: 781
2024-04-27T22:19:47.679Z - Humidity: 65%, Temperature: 25C, Analog output: 760
2024-04-27T22:19:57.717Z - Humidity: 65%, Temperature: 24C, Analog output: 744
2024-04-27T22:20:07.756Z - Humidity: 67%, Temperature: 24C, Analog output: 743
2024-04-27T22:20:17.799Z - Humidity: 65%, Temperature: 24C, Analog output: 761
2024-04-27T22:20:27.837Z - Humidity: 66%, Temperature: 25C, Analog output: 746
2024-04-27T22:20:37.876Z - Humidity: 66%, Temperature: 25C, Analog output: 780
2024-04-27T22:20:47.915Z - Humidity: 65%, Temperature: 25C, Analog output: 744
2024-04-27T22:20:57.954Z - Humidity: 64%, Temperature: 25C, Analog output: 729
2024-04-27T22:21:07.992Z - Humidity: 64%, Temperature: 25C, Analog output: 744
2024-04-27T22:21:18.031Z - Humidity: 64%, Temperature: 25C, Analog output: 757
2024-04-27T22:21:28.069Z - Humidity: 64%, Temperature: 23C, Analog output: 767
2024-04-27T22:21:38.108Z - Humidity: 64%, Temperature: 24C, Analog output: 746
2024-04-27T22:21:48.146Z - Humidity: 64%, Temperature: 25C, Analog output: 742
2024-04-27T22:21:58.189Z - Humidity: 63%, Temperature: 23C, Analog output: 745
2024-04-27T22:22:08.228Z - Humidity: 64%, Temperature: 24C, Analog output: 742
2024-04-27T22:22:18.266Z - Humidity: 65%, Temperature: 24C, Analog output: 788
2024-04-27T22:22:28.304Z - Humidity: 64%, Temperature: 24C, Analog output: 744
2024-04-27T22:22:38.344Z - Humidity: 64%, Temperature: 24C, Analog output: 759
