2024-04-27T19:38:01.620Z - Humidity: 60%, Temperature: 24C, Analog output: 723
2024-04-28T08:10:54.907Z - Humidity: 93%, Temperature: 20C, Analog output: 869
2024-04-28T08:11:04.945Z - Humidity: 94%, Temperature: 21C, Analog output: 864
2024-04-28T08:11:14.984Z - Humidity: 93%, Temperature: 20C, Analog output: 874
2024-04-28T08:11:25.027Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:11:35.065Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T08:11:45.104Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T08:11:55.143Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:12:05.182Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T08:12:15.219Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T08:12:25.258Z - Humidity: 94%, Temperature: 21C, Analog output: 869
2024-04-28T08:12:35.300Z - Humidity: 94%, Temperature: 21C, Analog output: 854


--- Server Started at 2024-04-28T08:12:45.187Z ---
2024-04-28T08:12:46.204Z - Humidity: 94%, Temperature: 21C, Analog output: 864
2024-04-28T08:12:56.243Z - Humidity: 94%, Temperature: 21C, Analog output: 861
2024-04-28T08:13:06.281Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T08:13:16.324Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T08:13:26.362Z - Humidity: 94%, Temperature: 21C, Analog output: 886
2024-04-28T08:13:36.401Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T08:13:46.440Z - Humidity: 94%, Temperature: 21C, Analog output: 863
2024-04-28T08:13:56.478Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T08:14:06.518Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T08:14:16.556Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:14:26.599Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T08:14:36.638Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T08:14:46.676Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T08:14:56.715Z - Humidity: 94%, Temperature: 21C, Analog output: 863
2024-04-28T08:15:06.753Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T08:15:16.791Z - Humidity: 95%, Temperature: 22C, Analog output: 862
2024-04-28T08:15:26.834Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:15:36.873Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:15:46.912Z - Humidity: 94%, Temperature: 21C, Analog output: 872
2024-04-28T08:15:56.950Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T08:16:06.988Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T08:16:17.027Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T08:16:27.065Z - Humidity: 94%, Temperature: 21C, Analog output: 871
2024-04-28T08:16:37.105Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T08:16:47.146Z - Humidity: 93%, Temperature: 20C, Analog output: 892
2024-04-28T08:16:57.185Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:17:07.224Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:17:17.262Z - Humidity: 93%, Temperature: 20C, Analog output: 863
2024-04-28T08:17:27.302Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:17:37.340Z - Humidity: 93%, Temperature: 20C, Analog output: 879
2024-04-28T08:17:47.380Z - Humidity: 94%, Temperature: 21C, Analog output: 887
2024-04-28T08:17:57.421Z - Humidity: 94%, Temperature: 21C, Analog output: 861
2024-04-28T08:18:07.460Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:18:17.499Z - Humidity: 94%, Temperature: 21C, Analog output: 870
2024-04-28T08:18:27.536Z - Humidity: 94%, Temperature: 21C, Analog output: 861
2024-04-28T08:18:37.576Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:18:47.613Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T08:18:57.653Z - Humidity: 94%, Temperature: 21C, Analog output: 898
2024-04-28T08:19:07.696Z - Humidity: 93%, Temperature: 20C, Analog output: 862
